Código;ABEV3;Digite o código da empresa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empresa;Ambev;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Segmento;Bebidas;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Último Balanço;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Inicial;30/09/14;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Final;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data final selecionada;;Digite uma data ou deixe vazio que a data do último balanço sera a referência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos;10;Digite a quantidade de anos que deseja visualizar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meses ;Trimestre;Escolha o périodo da DRE E FC (3meses, 12 Meses ou no exercicio) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de balanço;Consolidado;Defina se deseja ver Nrs Consolidados ou Individuais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Preço Ação R$ Ajustado Bruto .ABEV3;Valor de Mercado (R$) Milhão .ABEV3;EV R$ Consolidado  Milhão .ABEV3;%Val Merc Vs EV .ABEV3;D/(d+E) Patr Liquido % Consolidado .ABEV3;P/L Anos Consolidado  Trimestre .ABEV3;P/VPA x Consolidado .ABEV3;EV/EBITDA x Consolidado  Trimestre .ABEV3;P/Ebitda x Consolidado  Trimestre .ABEV3;PSR x Consolidado  Trimestre .ABEV3; .ABEV3;Rec Liquida Operacionar R$ Consolidado  Trimestre  Milhão .ABEV3;Lucro Bruto R$ Consolidado  Trimestre  Milhão .ABEV3;Margem Bruta % Consolidado  Trimestre .ABEV3;Lucro EBIT R$ Consolidado  Trimestre  Milhão .ABEV3;Margem Ebit % Consolidado  Trimestre .ABEV3;Ebitda R$ Consolidado  Trimestre  Milhão .ABEV3;Lucro Líquido R$ Consolidado  Trimestre  Milhão .ABEV3;Margem Líquida % Consolidado  Trimestre .ABEV3;LPA R$ Consolidado  Trimestre  Unidade .ABEV3;VPA R$ Consolidado  Unidade .ABEV3;Ebitda p/Ação R$ Consolidado  Trimestre  Unidade .ABEV3; .ABEV3;Ativo Total R$ Consolidado  Milhão .ABEV3;Patrimônio Liquido R$ Consolidado  Milhão .ABEV3;Dívida Bruta R$ Consolidado  Milhão .ABEV3;Dívida Líquida R$ Consolidado  Milhão .ABEV3;Caixa R$.ABEV3;Capital de Giro R$ Consolidado  Milhão .ABEV3;Div Bruta/Ativo Total % Consolidado .ABEV3;Div Bruta/Patrim Liquido % Consolidado .ABEV3;Ebit/DIv Bruta % Consolidado  Trimestre .ABEV3;Div Líquida/Ebitda x Consolidado  Trimestre .ABEV3;Div CP/Div Total % Consolidado .ABEV3; .ABEV3;Ações Emitidas Milhar .ABEV3;Ações Outstanding Milhar .ABEV3;Ações Tesouraria Milhar .ABEV3;Ações Outstanding Média Trimestre  Milhar .ABEV3
set-19;15,80;302.807;293.135;103,30%;1,33;121,21;4,61;66,81;69,00;25,32;;11.958;6.728;56,26;3.132;26,19;4.388;2.498;21,78;0,16;4,18;0,28;;102.475;65.752;4.090;-10.941;15.031;7.162;3,99;6,10;76,58;-2,49;42,05;;15.733.575;15.730.209;3.366;15.727.257
dez-19;15,73;293.678;286.104;102,65%;1,03;71,64;4,79;43,46;44,61;18,52;;15.857;9.477;59,77;5.319;33,55;6.583;4.100;26,61;0,26;3,90;0,42;;101.743;61.278;3.063;-8.852;11.915;2.610;3,01;4,90;173,67;-1,34;21,33;;15.733.575;15.730.209;3.366;15.730.209
mar-20;10,04;187.538;179.512;104,47%;1,82;171,74;2,67;42,72;44,62;14,88;;12.603;6.959;55,22;3.028;24,03;4.202;1.092;9,61;0,07;4,47;0,27;;113.688;70.360;3.473;-9.776;13.249;5.868;3,06;4,82;87,17;-2,33;22,46;;15.735.118;15.733.086;2.032;15.730.001
jun-20;11,91;222.466;213.374;104,26%;2,96;181,34;3,01;66,59;69,43;19,15;;11.615;5.813;50,05;1.902;16,37;3.204;1.227;10,95;0,08;4,70;0,20;;121.393;73.923;6.783;-10.701;17.484;7.029;5,59;8,98;28,04;-3,34;60,72;;15.735.118;15.733.078;2.040;15.733.086
set-20;10,56;197.297;182.617;108,04%;3,36;86,73;2,53;37,25;40,24;12,64;;15.604;8.181;52,43;3.576;22,92;4.903;2.275;15,12;0,14;4,96;0,31;;127.057;78.006;6.855;-16.248;23.103;8.823;5,40;8,61;52,16;-3,31;62,99;;15.735.118;15.733.430;1.688;15.733.083
dez-20;13,53;246.251;233.589;105,42%;1,91;36,28;3,34;26,58;28,02;13,27;;18.557;10.359;55,82;7.423;40,00;8.788;6.786;37,13;0,43;4,69;0,56;;125.197;73.816;4.792;-13.998;18.790;1.865;3,83;6,38;154,90;-1,59;57,15;;15.735.118;15.733.430;1.688;15.733.430
mar-21;13,28;240.619;227.897;105,58%;2,05;91,64;2,93;43,46;45,89;14,46;;16.640;8.694;52,25;3.980;23,92;5.243;2.625;16,43;0,17;5,21;0,33;;133.418;82.044;5.027;-14.309;19.336;5.179;3,77;6,01;79,16;-2,73;51,70;;15.739.243;15.737.013;2.230;15.734.948
jun-21;14,83;268.633;258.321;103,99%;1,10;93,09;3,41;49,73;51,71;17,10;;15.711;7.746;49,30;3.894;24,79;5.195;2.886;18,65;0,18;5,01;0,33;;124.440;78.890;2.991;-11.524;14.515;3.914;2,40;3,73;130,22;-2,22;28,58;;15.741.455;15.737.161;4.294;15.737.015
set-21;13,29;240.778;225.199;106,92%;1,24;67,78;2,77;41,94;44,84;13,02;;18.493;9.240;49,96;3.999;21,62;5.369;3.553;20,08;0,23;5,51;0,34;;135.133;86.771;3.028;-16.973;20.001;7.090;2,24;3,43;132,07;-3,16;29,37;;15.741.455;15.737.155;4.300;15.737.161
dez-21;13,92;242.690;228.623;106,15%;1,26;67,27;2,94;34,88;37,02;11,02;;22.011;11.515;52,31;5.092;23,13;6.554;3.607;17,02;0,23;5,25;0,42;;138.602;82.643;3.101;-15.442;18.542;-239;2,24;3,69;164,22;-2,36;27,32;;15.741.455;15.737.155;4.300;15.737.155
mar-22;13,90;242.471;232.497;104,29%;1,22;71,02;3,07;42,32;44,12;13,14;;18.439;9.025;48,94;4.162;22,57;5.493;3.413;19,14;0,22;5,01;0,35;;127.400;78.923;2.986;-11.247;14.234;1.301;2,34;3,72;139,38;-2,05;27,32;;15.750.217;15.744.886;5.331;15.738.766
jun-22;12,10;210.938;199.793;105,58%;1,49;71,04;2,45;36,30;38,33;11,73;;17.989;8.615;47,89;4.034;22,43;5.504;2.970;17,03;0,19;5,48;0,35;;136.633;86.263;3.196;-12.469;15.665;4.341;2,34;3,65;126,22;-2,27;27,98;;15.750.217;15.741.614;8.603;15.744.836
set-22;14,03;244.624;229.918;106,40%;1,20;78,69;2,71;41,22;43,85;11,88;;20.588;9.940;48,28;4.055;19,70;5.578;3.109;15,62;0,20;5,73;0,35;;142.064;90.178;2.980;-16.079;19.060;6.577;2,10;3,26;136,05;-2,88;25,55;;15.750.217;15.741.574;8.643;15.741.613
dez-22;13,80;228.568;218.330;104,69%;1,62;46,02;2,79;31,01;32,47;10,07;;22.693;11.708;51,59;5.407;23,83;7.040;4.967;22,40;0,32;5,21;0,45;;137.958;81.956;3.771;-11.610;15.381;-2.724;2,73;4,53;143,41;-1,65;26,06;;15.750.217;15.741.574;8.643;15.741.574
mar-23;13,62;225.640;218.287;103,37%;1,65;60,97;2,65;34,09;35,23;10,99;;20.532;10.400;50,65;4.876;23,75;6.402;3.700;18,60;0,24;5,40;0,41;;135.467;85.000;3.789;-8.790;12.579;-254;2,80;4,38;128,66;-1,37;30,03;;15.753.833;15.745.974;7.859;15.741.802
jun-23;14,64;242.656;235.510;103,03%;1,62;96,94;2,85;45,74;47,12;12,84;;18.898;9.263;49,01;3.445;18,23;5.149;2.503;13,75;0,16;5,40;0,33;;133.294;85.075;3.992;-8.438;12.431;202;3,00;4,62;86,30;-1,64;33,07;;15.753.833;15.746.689;7.144;15.745.986
set-23;12,46;206.439;193.822;106,51%;1,77;52,77;2,29;29,51;31,43;10,16;;20.318;10.095;49,68;4.898;24,10;6.569;3.912;19,76;0,25;5,73;0,42;;137.914;90.255;3.718;-13.923;17.641;3.707;2,70;4,06;131,74;-2,12;33,24;;15.753.833;15.746.689;7.144;15.746.689
dez-23;13,73;216.151;204.490;105,70%;1,59;49,26;2,74;29,45;31,13;10,81;;19.989;10.688;53,47;5.427;27,15;6.943;4.388;22,65;0,28;5,02;0,44;;132.644;78.969;3.501;-12.835;16.336;-4.442;2,64;4,37;155,01;-1,85;37,08;;15.753.833;15.742.975;10.858;15.743.036
mar-24;12,49;196.711;187.389;104,97%;1,90;53,16;2,27;28,77;30,20;9,70;;20.276;10.217;50,39;4.881;24,07;6.514;3.700;18,76;0,23;5,50;0,41;;133.817;86.594;3.817;-10.104;13.922;-237;2,85;4,37;127,87;-1,55;43,14;;15.753.833;15.749.449;4.384;15.749.449
jun-24;11,41;179.681;168.568;106,59%;1,89;74,98;1,89;29,23;31,15;8,96;;20.044;9.984;49,81;4.048;20,20;5.768;2.396;12,23;0,15;6,05;0,37;;143.439;95.263;3.456;-11.885;15.342;3.698;2,41;3,60;117,12;-2,06;36,01;;15.757.657;15.747.644;10.013;15.746.491
set-24;13,08;205.725;188.909;108,90%;1,62;59,45;2,10;26,68;29,05;9,31;;22.097;11.124;50,34;5.351;24,22;7.081;3.460;16,14;0,22;6,24;0,45;;147.286;98.140;3.380;-17.559;20.939;7.000;2,30;3,42;158,31;-2,48;35,83;;15.757.657;15.728.175;29.482;15.726.182
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
