Código;B3SA3;Digite o código da empresa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empresa;B3;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Segmento;Financeiros Diversos;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Último Balanço;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Inicial;30/09/14;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Final;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data final selecionada;;Digite uma data ou deixe vazio que a data do último balanço sera a referência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos;10;Digite a quantidade de anos que deseja visualizar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meses ;Trimestre;Escolha o périodo da DRE E FC (3meses, 12 Meses ou no exercicio) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de balanço;Consolidado;Defina se deseja ver Nrs Consolidados ou Individuais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Preço Ação R$ Ajustado Bruto .B3SA3;Valor de Mercado (R$) Milhão .B3SA3;EV R$ Consolidado  Milhão .B3SA3;%Val Merc Vs EV .B3SA3;D/(d+E) Patr Liquido % Consolidado .B3SA3;P/L Anos Consolidado  Trimestre .B3SA3;P/VPA x Consolidado .B3SA3;EV/EBITDA x Consolidado  Trimestre .B3SA3;P/Ebitda x Consolidado  Trimestre .B3SA3;PSR x Consolidado  Trimestre .B3SA3; .B3SA3;Rec Liquida Operacionar R$ Consolidado  Trimestre  Milhão .B3SA3;Lucro Bruto R$ Consolidado  Trimestre  Milhão .B3SA3;Margem Bruta % Consolidado  Trimestre .B3SA3;Lucro EBIT R$ Consolidado  Trimestre  Milhão .B3SA3;Margem Ebit % Consolidado  Trimestre .B3SA3;Ebitda R$ Consolidado  Trimestre  Milhão .B3SA3;Lucro Líquido R$ Consolidado  Trimestre  Milhão .B3SA3;Margem Líquida % Consolidado  Trimestre .B3SA3;LPA R$ Consolidado  Trimestre  Unidade .B3SA3;VPA R$ Consolidado  Unidade .B3SA3;Ebitda p/Ação R$ Consolidado  Trimestre  Unidade .B3SA3; .B3SA3;Ativo Total R$ Consolidado  Milhão .B3SA3;Patrimônio Liquido R$ Consolidado  Milhão .B3SA3;Dívida Bruta R$ Consolidado  Milhão .B3SA3;Dívida Líquida R$ Consolidado  Milhão .B3SA3;Caixa R$.B3SA3;Capital de Giro R$ Consolidado  Milhão .B3SA3;Div Bruta/Ativo Total % Consolidado .B3SA3;Div Bruta/Patrim Liquido % Consolidado .B3SA3;Ebit/DIv Bruta % Consolidado  Trimestre .B3SA3;Div Líquida/Ebitda x Consolidado  Trimestre .B3SA3;Div CP/Div Total % Consolidado .B3SA3; .B3SA3;Ações Emitidas Milhar .B3SA3;Ações Outstanding Milhar .B3SA3;Ações Tesouraria Milhar .B3SA3;Ações Outstanding Média Trimestre  Milhar .B3SA3
set-19;11,77;89.259;84.556;105,56%;6,28;124,10;3,52;76,17;80,47;52,35;;1.707;1.530;89,64;853;49,97;1.110;720;42,17;0,12;4,13;0,18;;40.951;25.362;5.977;-4.717;10.694;2.396;14,59;23,55;14,27;-4,25;69,08;;2.059.138;2.045.816;13.322;2.047.545
dez-19;11,59;87.921;82.828;106,15%;4,73;119,87;3,46;70,17;74,48;50,00;;1.758;1.579;89,79;923;52,47;1.180;733;41,69;0,12;4,14;0,19;;40.027;25.388;4.365;-5.106;9.471;2.414;10,90;17,18;21,14;-4,33;58,15;;2.059.138;2.045.816;13.322;2.045.816
mar-20;9,93;73.370;67.662;108,44%;6,68;71,62;2,95;43,12;46,81;38,55;;1.905;1.905;100,00;1.307;68,61;1.569;1.026;53,81;0,17;4,06;0,26;;41.142;24.885;5.255;-5.720;10.976;1.893;12,77;21,11;24,87;-3,65;71,77;;2.059.138;2.043.721;15.417;2.046.062
jun-20;15,24;112.583;105.306;106,91%;5,66;126,17;4,41;74,17;79,30;59,00;;1.908;1.908;100,00;1.176;61,60;1.420;892;46,73;0,15;4,17;0,23;;44.193;25.546;6.748;-7.290;14.038;4.275;15,27;26,40;17,42;-5,13;59,30;;2.059.138;2.043.627;15.512;2.043.720
set-20;15,46;112.312;104.570;107,40%;5,77;98,87;4,50;56,90;61,17;44,34;;2.535;2.289;90,27;1.574;62,06;1.838;1.137;44,82;0,19;4,08;0,30;;45.378;24.977;6.882;-7.754;14.636;7.559;15,17;27,54;22,86;-4,22;0,59;;2.059.138;2.041.670;17.469;2.043.597
dez-20;17,42;126.078;117.642;107,17%;5,30;115,31;5,14;64,74;69,64;49,86;;2.538;2.280;89,86;1.546;60,93;1.817;1.097;43,24;0,18;4,02;0,30;;46.333;24.510;7.060;-8.448;15.507;7.423;15,24;28,79;21,90;-4,65;1,12;;2.059.138;2.041.670;17.469;2.041.670
mar-21;15,81;110.929;102.405;108,32%;6,01;88,46;4,56;51,17;55,52;46,36;;2.397;2.397;100,00;1.737;72,46;2.001;1.256;52,41;0,21;4,00;0,33;;46.194;24.346;7.089;-8.536;15.626;7.379;15,35;29,11;24,50;-4,27;0,53;;2.042.000;2.030.928;11.072;2.034.125
jun-21;14,80;102.145;93.875;108,81%;8,96;85,87;4,50;48,53;52,98;42,39;;2.418;2.418;100,00;1.670;69,06;1.934;1.193;49,36;0,20;3,74;0,32;;49.531;22.693;10.058;-8.281;18.339;7.366;20,31;44,30;16,60;-4,28;13,00;;6.126.000;6.072.831;53.169;6.092.482
set-21;11,38;77.368;67.357;114,86%;15,28;65,78;3,43;36,98;42,48;30,78;;2.513;2.255;89,71;1.549;61,64;1.821;1.176;46,80;0,19;3,72;0,30;;54.807;22.580;13.951;-10.023;23.974;9.946;25,45;61,75;11,10;-5,50;21,96;;6.126.000;6.072.842;53.158;6.072.831
dez-21;10,08;67.654;62.727;107,86%;17,35;61,97;3,02;38,69;41,73;27,82;;2.432;2.179;89,62;1.365;56,16;1.621;1.092;44,90;0,18;3,69;0,27;;52.532;22.408;14.199;-4.939;19.137;8.136;27,03;63,33;9,62;-3,05;22,57;;6.126.000;6.072.842;53.158;6.072.842
mar-22;14,45;94.376;89.295;105,69%;12,50;86,64;4,33;52,32;55,89;41,75;;2.285;2.285;100,00;1.431;62,62;1.707;1.101;48,19;0,18;3,63;0,28;;50.737;21.807;13.476;-5.093;18.569;7.926;26,56;61,77;10,62;-2,98;23,06;;6.099.000;6.007.389;91.611;6.072.035
jun-22;10,20;64.784;62.319;103,96%;16,39;60,27;3,14;37,42;39,52;29,36;;2.242;2.242;100,00;1.400;62,44;1.666;1.092;48,73;0,18;3,49;0,28;;47.394;20.653;12.697;-2.477;15.175;6.073;26,79;61,44;11,02;-1,49;25,21;;6.099.000;5.910.993;188.007;6.005.929
