date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,adjClose,PX_VOLUME,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,Price to Book,Total Current Liabilities,Current Market Cap,Number of Employees,Return on Assets,Profit Margin,Return on Common Equity,Current Ratio,Dividend Payout Ratio,Price to Earnings Ratio,Capital Expenditures,Total Debt to Total Assets,Operating Margin,Return on Capital,Short and Long Term Debt,Cash & ST Investment / Share,Estimated EBITDA,Estimated Sales
2023-07-26,26.84,27.07,26.56,26.88,22.92,45656400,45656400,0.04336166,0.14903,26.84,"July 26, 23",0.0014903,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-07-27,26.75,26.79,25.48,25.49,21.73,85962704,85962704,-1.27,-4.71,26.13,"July 27, 23",-0.0471,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-07-28,25.52,25.97,25.43,25.81,22.01,43454200,43454200,0.28618,1.14,25.68,"July 28, 23",0.0114,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-07-31,26.28,27.01,26.28,26.98,23.0,90927200,90927200,0.70245,2.66,26.64,"July 31, 23",0.0266,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-01,26.96,26.96,25.97,26.54,22.63,75634096,75634096,-0.42494,-1.56,26.61,"August 01, 23",-0.0156,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-02,26.46,26.52,25.84,26.48,22.58,61557600,61557600,0.01734352,0.07558579,26.33,"August 02, 23",0.0007558579,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-03,26.82,27.0,26.55,26.81,22.86,57042600,57042600,-0.00867271,-0.03728561,26.8,"August 03, 23",-0.0003728561,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-04,26.62,27.01,25.79,26.02,22.19,120374304,120374304,-0.60705,-2.25,26.36,"August 04, 23",-0.0225,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-07,25.9,26.45,25.9,26.18,22.32,44776600,44776600,0.28618,1.08,26.11,"August 07, 23",0.0108,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-08,25.94,26.35,25.77,26.21,22.35,34691500,34691500,0.26884,1.04,26.07,"August 08, 23",0.0104,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-09,26.2,26.64,26.16,26.42,22.53,48449600,48449600,0.2168,0.83969,26.36,"August 09, 23",0.0083969,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-10,26.28,26.76,26.12,26.56,22.65,53207900,53207900,0.28618,1.07,26.43,"August 10, 23",0.0107,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-11,26.55,26.92,26.16,26.5,22.59,39290400,39290400,-0.04336166,-0.18832,26.53,"August 11, 23",-0.0018832,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-14,26.43,26.66,26.25,26.57,22.65,27845100,27845100,0.13875,0.5297,26.48,"August 14, 23",0.005297,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-15,27.79,27.88,26.75,26.76,22.82,87100800,87100800,-1.03,-3.71,27.3,"August 15, 23",-0.0371,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-16,26.88,27.73,26.78,27.35,23.32,74208800,74208800,0.4683,1.75,27.19,"August 16, 23",0.0175,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-17,27.53,27.92,27.15,27.27,23.25,57375400,57375400,-0.26884,-0.94442,27.47,"August 17, 23",-0.0094442,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-18,27.24,27.47,27.04,27.33,23.3,45156300,45156300,0.09539413,0.3304,27.27,"August 18, 23",0.003304,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-21,27.49,27.78,26.86,27.14,23.14,41889800,41889800,-0.34689,-1.27,27.32,"August 21, 23",-0.0127,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-22,27.46,27.56,27.22,27.56,24.54,31149000,31149000,0.09903145,0.36417,27.45,"August 22, 23",0.0036417,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-23,28.09,29.02,27.99,29.02,25.84,94939904,94939904,0.93629,3.31,28.53,"August 23, 23",0.0331,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-24,29.05,29.46,28.66,28.98,25.8,49235600,49235600,-0.07202339,-0.24096,29.04,"August 24, 23",-0.0024096,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
2023-08-25,29.15,29.23,28.63,28.78,25.63,33989200,33989200,-0.36911,-1.27,28.95,"August 25, 23",-0.0127,1.2030387081697114,33860000000,534243522052,46730,0.11463741609733401,0.24298645626849202,0.3166588193375158,0.9582102776137035,0.7904677704549108,5.2000003,-12114000000,0.11277163272169423,0.39625,0.21436953828183422,62600000000,1.193799205762501,223582994432,102409000000.0
